"Pendidikan","Aspek","Mean","SD","N"
"S1","Achievement",16.9930907415937,3.35975753192533,2171
"S1","Deference",14.9341317365269,3.3326744936062,2171
"S1","Order",18.4048825426071,4.29977537967863,2171
"S1","Exhibition",12.9806540764625,3.20305063913633,2171
"S1","Autonomy",10.2252418240442,3.44936090708129,2171
"S1","Affiliation",13.0013818516813,3.64754799619372,2171
"S1","Intraception",17.0944265315523,3.72806287408115,2171
"S1","Succorance",10.8613542146476,4.30856331003665,2171
"S1","Dominance",15.0778443113772,4.30763143998584,2171
"S1","Abasement",16.6688162137264,3.70905473553357,2171
"S1","Nurturance",16.136803316444,4.12189664941841,2171
"S1","Change",15.0442192538001,3.85161136616364,2171
"S1","Endurance",19.1064025794565,4.0550600468399,2171
"S1","Heterosexuality",4.62874251497006,4.33072648874376,2171
"S1","Aggression",8.84200829111009,4.09455122054018,2171
"SMA","Achievement",15.8936835522201,3.33524492365994,1599
"SMA","Deference",14.0888055034396,3.41418941672637,1599
"SMA","Order",16.1794871794872,4.67621783643006,1599
"SMA","Exhibition",13.3145716072545,3.21046966116734,1599
"SMA","Autonomy",11.3358348968105,3.38189398435399,1599
"SMA","Affiliation",13.4409005628518,3.63856456994451,1599
"SMA","Intraception",17.0606629143215,3.70156376125923,1599
"SMA","Succorance",12.2614133833646,4.57866366473772,1599
"SMA","Dominance",14.3702313946216,4.19792121915035,1599
"SMA","Abasement",16.7992495309568,3.76654124872823,1599
"SMA","Nurturance",16.2276422764228,4.16126261070578,1599
"SMA","Change",14.984990619137,4.07360622715358,1599
"SMA","Endurance",17.3183239524703,4.41956149945101,1599
"SMA","Heterosexuality",6.03627267041901,4.77608090401528,1599
"SMA","Aggression",10.6879299562226,4.40611114525921,1599
"D1","Achievement",16.3023255813953,3.61066970304878,86
"D1","Deference",14.5232558139535,3.80935919942711,86
"D1","Order",18.0581395348837,4.30418305745302,86
"D1","Exhibition",13.2441860465116,3.48757811301643,86
"D1","Autonomy",10.6162790697674,3.31899561225155,86
"D1","Affiliation",12.7209302325581,3.65787197148576,86
"D1","Intraception",17.1976744186047,3.75364847594776,86
"D1","Succorance",10.0813953488372,3.77052068889562,86
"D1","Dominance",14.9186046511628,3.93839357002937,86
"D1","Abasement",17.1627906976744,3.87407815256065,86
"D1","Nurturance",16.4651162790698,4.5236572253214,86
"D1","Change",14.6744186046512,3.54281994848941,86
"D1","Endurance",18.7906976744186,4.39549576691136,86
"D1","Heterosexuality",5.58139534883721,4.32085262903752,86
"D1","Aggression",9.66279069767442,5.00025991116528,86
"SMK","Achievement",16.1756912442396,3.35690729857754,1736
"SMK","Deference",14.1814516129032,3.27437371022294,1736
"SMK","Order",17.0622119815668,4.50905468191398,1736
"SMK","Exhibition",13.1503456221198,3.33834242399465,1736
"SMK","Autonomy",10.9441244239631,3.31337174438641,1736
"SMK","Affiliation",13.0414746543779,3.63357810052484,1736
"SMK","Intraception",16.9976958525346,3.60451132505578,1736
"SMK","Succorance",11.4688940092166,4.4725432150692,1736
"SMK","Dominance",14.2165898617512,4.07541035659345,1736
"SMK","Abasement",17.3968894009217,3.6688220791256,1736
"SMK","Nurturance",16.7891705069124,4.1335651731467,1736
"SMK","Change",14.7822580645161,3.91138834910498,1736
"SMK","Endurance",18.1267281105991,4.15271306862831,1736
"SMK","Heterosexuality",5.42165898617511,4.48483487705185,1736
"SMK","Aggression",10.2448156682028,4.38210622322109,1736
"SMP","Achievement",16.6746987951807,3.4197168969412,332
"SMP","Deference",13.7831325301205,3.35348740431545,332
"SMP","Order",16.2379518072289,4.68854804830833,332
"SMP","Exhibition",13.4759036144578,3.54803346617342,332
"SMP","Autonomy",10.8524096385542,3.53650281805945,332
"SMP","Affiliation",13.7138554216867,3.892752684078,332
"SMP","Intraception",16.8493975903614,3.75796028412135,332
"SMP","Succorance",11.1807228915663,4.51354344172296,332
"SMP","Dominance",15.8102409638554,4.26786105774617,332
"SMP","Abasement",16.6084337349398,3.74371432339231,332
"SMP","Nurturance",16.894578313253,4.09823123034968,332
"SMP","Change",15.0963855421687,4.04615205013871,332
"SMP","Endurance",17.8614457831325,4.41900130411302,332
"SMP","Heterosexuality",4.63253012048193,4.26011101322624,332
"SMP","Aggression",10.328313253012,4.2466314553168,332
"D3","Achievement",16.96,3.18729569826755,350
"D3","Deference",15.0114285714286,3.17311155206013,350
"D3","Order",18.68,4.28703649954419,350
"D3","Exhibition",12.8228571428571,3.3235364285864,350
"D3","Autonomy",10.0228571428571,3.1712430755604,350
"D3","Affiliation",12.84,3.46287721766768,350
"D3","Intraception",17.4571428571429,3.79671745677527,350
"D3","Succorance",10.4428571428571,4.45684726183767,350
"D3","Dominance",15.12,4.53668902151525,350
"D3","Abasement",16.9628571428571,3.94972602250913,350
"D3","Nurturance",16.0171428571429,4.03704093981395,350
"D3","Change",15.0742857142857,4.02572977293141,350
"D3","Endurance",19.2371428571429,3.94566140999724,350
"D3","Heterosexuality",4.30857142857143,4.25365990591277,350
"D3","Aggression",9.04285714285714,3.86311525004377,350
"S2","Achievement",16.7941176470588,3.5220364848874,68
"S2","Deference",14.5441176470588,3.18782115047961,68
"S2","Order",17.5294117647059,3.91503259830996,68
"S2","Exhibition",13.1029411764706,3.48617613671335,68
"S2","Autonomy",10.5,3.48343628594079,68
"S2","Affiliation",13,3.33233815990219,68
"S2","Intraception",17.8676470588235,3.55302860831204,68
"S2","Succorance",10.1029411764706,4.49921952064973,68
"S2","Dominance",15.6029411764706,4.43910608818485,68
"S2","Abasement",16.2941176470588,3.97776965756429,68
"S2","Nurturance",16.0882352941176,4.07297351541146,68
"S2","Change",15.1764705882353,4.58726718135666,68
"S2","Endurance",19.6764705882353,4.00164584226081,68
"S2","Heterosexuality",4.89705882352941,5.17785095132142,68
"S2","Aggression",8.82352941176471,3.91301378857394,68
"D4","Achievement",16.8421052631579,3.18011036030126,95
"D4","Deference",15.0105263157895,3.39741684363378,95
"D4","Order",18.4210526315789,3.98555622901588,95
"D4","Exhibition",12.8,3.37260553357584,95
"D4","Autonomy",11.2105263157895,3.20204302083511,95
"D4","Affiliation",13.1684210526316,3.81110536145982,95
"D4","Intraception",16.5894736842105,3.23706833758147,95
"D4","Succorance",10.3684210526316,4.16431811377848,95
"D4","Dominance",15.1894736842105,4.04310481295692,95
"D4","Abasement",16.4526315789474,4.14310095873988,95
"D4","Nurturance",15.6842105263158,3.67933608111034,95
"D4","Change",14.6526315789474,3.95928324980465,95
"D4","Endurance",19.1789473684211,3.69006413877378,95
"D4","Heterosexuality",5.38947368421053,4.4322194066834,95
"D4","Aggression",9.04210526315789,4.06834115777375,95
